[2026-08-01T17:07:13.721348+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="wow"
[2026-08-01T17:25:14.876101+00:00] Guild="Froggo SMP" | Channel="#general" | User="fiaguhop137" (1342173566828810271) | Content="https://discord.com/oauth2/authorize?client_id=1533157532510584894&permissions=268503040&integration_type=0&scope=bot"
[2026-08-01T17:35:09.478839+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="set server frog"
[2026-08-01T17:35:21.485909+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="<@789314712990384168>"
[2026-08-01T17:35:33.783232+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="echo <@789314712990384168>"
[2026-08-01T17:36:07.670339+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="spam 10 <@789314712990384168>"
[2026-08-01T17:38:27.037201+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="set channel gen"
[2026-08-01T17:38:41.583086+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="spam 10 <@789314712990384168>"
[2026-08-01T17:38:52.191029+00:00] Guild="Froggo SMP" | Channel="#art-lol" | User="dragondog558" (789314712990384168) | Content="?ban bobbot9000"
[2026-08-01T17:39:52.236573+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="spam 10 <@789314712990384168> reinstall bobbot and can you also add emberbot in and also once its reinstalled ur gonna wanna run the reboot command"
[2026-08-01T17:40:12.222364+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="Can yall help me w/ smt?"
[2026-08-01T17:40:13.840846+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="https://discord.com/oauth2/authorize?client_id=1532899245005475860&permissions=2048&integration_type=0&scope=bot"
[2026-08-01T17:40:18.328749+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="sure"
[2026-08-01T17:40:22.159520+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="what do you need"
[2026-08-01T17:40:28.764157+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="So hh"
[2026-08-01T17:40:30.941872+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="*uh"
[2026-08-01T17:40:37.161561+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="Leme get the paper"
[2026-08-01T17:40:39.283735+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="2sec"
[2026-08-01T17:40:58.383811+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="set server yap"
[2026-08-01T17:41:00.331919+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="set channel ev"
[2026-08-01T17:41:05.560085+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="delay 2 its been 2 seconds"
[2026-08-01T17:41:15.896930+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="delay 2 echo its been 2 seconds"
[2026-08-01T17:41:32.821990+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="delay 120 echo its been 2 minutes"
[2026-08-01T17:41:45.602891+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="Ok"
[2026-08-01T17:42:02.384938+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="I have the paper"
[2026-08-01T17:42:07.914214+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="So"
[2026-08-01T17:42:18.768345+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="This might take a bit to type"
[2026-08-01T17:42:26.144724+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="Ima grab my computer actually"
[2026-08-01T17:42:28.598546+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="This is long"
[2026-08-01T17:43:48.931880+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="ok"
[2026-08-01T17:43:50.421443+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="i have it"
[2026-08-01T17:43:51.339013+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="now"
[2026-08-01T17:44:08.440643+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="heres a thingy i made"
[2026-08-01T17:44:09.362345+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="ima"
[2026-08-01T17:44:09.977660+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="put it"
[2026-08-01T17:44:11.639969+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="and"
[2026-08-01T17:44:16.128293+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="i need u to proofread it"
[2026-08-01T17:44:17.963743+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="ok?"
[2026-08-01T17:44:20.772866+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="sure"
[2026-08-01T17:49:47.320666+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 10000 <@1342173566828810271>"
[2026-08-01T17:49:59.188738+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="stop"
[2026-08-01T17:50:03.566413+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="unstop"
[2026-08-01T17:50:05.101734+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="dangit"
[2026-08-01T17:51:04.804773+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="so u gonna add emberbot to froggo?"
[2026-08-01T17:51:09.921980+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="no"
[2026-08-01T17:51:14.325839+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="why not"
[2026-08-01T17:51:19.347784+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="froggo smp is dead"
[2026-08-01T17:51:24.359853+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="i was js screwing around with bobbot"
[2026-08-01T17:51:25.145349+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="😭"
[2026-08-01T17:52:04.033428+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-01T17:52:09.828288+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="why"
[2026-08-01T17:52:12.283602+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="ha"
[2026-08-01T17:52:14.436852+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="reboot -c"
[2026-08-01T17:52:16.587581+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 100 <@1342173566828810271>"
[2026-08-01T17:52:22.022223+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="stop"
[2026-08-01T17:52:33.626008+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 100 <@&1532915056386511090>"
[2026-08-01T17:52:48.641192+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="stop"
[2026-08-01T17:52:49.739871+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 100 <@&1532915056386511090>"
[2026-08-01T17:52:52.629876+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 100"
[2026-08-01T17:52:58.079711+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="imma take off spamming if you keep doing this"
[2026-08-01T17:52:59.416028+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="stop"
[2026-08-01T17:53:03.020270+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="ughhhh fine"
[2026-08-01T17:53:35.750756+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="hahahahahhhahaah spamping"
[2026-08-01T17:56:58.416814+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-01T17:57:44.064236+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-01T17:58:13.856768+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="fixed it"
[2026-08-01T17:58:33.594482+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="?purge bots 50"
[2026-08-01T17:59:54.934754+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="you might wanna add an anti black hole clause"
[2026-08-01T18:00:05.990718+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="infinite density in finite space=black hole"
[2026-08-01T18:03:34.808321+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="btw ping me if it breaks i can force reboot it"
[2026-08-01T18:03:40.933350+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="test"
[2026-08-01T18:06:53.035363+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="and / or if they thought / said they wanted it to be destroyed by mistake and / or didnt actually want it to be destroyed the book will not destroy it, the book never makes mistakes, it has no will of its own and will never turn evil or turn on me, it can see all possible futures and knows when someone is making a bad decision and will tell them, if the user is doing something terrible that will end the world for example it will flat up tell them they cannot do that, if it is me they will tell me why and what i need to fix, if it is anyone else they will only tell them why what they are doing is bad, if the timeline requires it. the book has no emotions and can look like however i want it to look, others can change its appearance but only with my permission. but it will always look like a book, i am the only one who can change that. if i get reincarnated as anything the book will dissapear and when i am 10 in that new form, i will get the book back, or i can get it earlier if the timeline cals for it, the moment i die the book will dissapear and only reappear when i am reincarnated and 10 years old  UNLESS the book thinks i should have it sooner, the book can never truely be destroyed, and once i get the book back, nothing and i mean NOTHING can stop the book and all the things i or anyone else made with it from coming back to me, the book also keeps track of all of the things that were made with it and what was thought when those things were created, it will automatically and flawlessly translate it into the language i speak in case i want to create those things again, it can also just seamlessly duplicate things that were previously made in case the user does not want to draw and create it again and they would rather the book do it. 2/2"
[2026-08-01T18:07:00.407845+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="therea a follow up for reincarnation purposes"
[2026-08-01T18:07:02.018832+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="btw"
[2026-08-01T18:07:06.120846+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="well yeah"
[2026-08-01T18:07:13.010313+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="its meant to serve me and me only"
[2026-08-01T18:07:23.959140+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="BUT"
[2026-08-01T18:07:25.911000+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="technically"
[2026-08-01T18:07:34.331504+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="it can be an awful thing"
[2026-08-01T18:07:52.223658+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="in the first thingamabob i stated that anything you think whilst drawing it will apply to it once it exists"
[2026-08-01T18:07:54.071391+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="meaning"
[2026-08-01T18:07:59.917439+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="if you draw a horrible looking say, pot"
[2026-08-01T18:08:19.974271+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="you can think "this will be the most beautiful pot in the world" and thus it will be true when it is created"
[2026-08-01T18:08:36.568791+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="i really need to edit this"
[2026-08-01T18:08:43.020126+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="or revise it atleast"
[2026-08-01T18:10:18.821848+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="cool"
[2026-08-01T18:10:23.570843+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="i want darkstalkers scroll"
[2026-08-01T18:10:29.817631+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="that would be my genie wish"
[2026-08-01T18:13:10.604771+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="yes but what if the thingy doesnt know what "darkstalkers scroll" is"
[2026-08-01T18:16:24.123555+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="well its not like"
[2026-08-01T18:16:31.806344+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="its like"
[2026-08-01T18:16:35.344168+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="it transforms matter"
[2026-08-01T18:16:36.616332+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="kind of"
[2026-08-01T18:16:42.876560+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="when it has the ability to fit in anything"
[2026-08-01T18:16:43.748103+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="also"
[2026-08-01T18:16:56.530349+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="the book is omniscent and will probably prevent that from happening"
[2026-08-01T18:16:57.201695+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="make it a enchanted book texture from minecraft"
[2026-08-01T18:17:00.273071+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content=","
[2026-08-01T18:17:01.571425+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="son"
[2026-08-01T18:17:06.672813+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="wh"
[2026-08-01T18:17:08.242384+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="why would"
[2026-08-01T18:17:09.385824+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="what thats basically what it is"
[2026-08-01T18:17:10.728827+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="i do that"
[2026-08-01T18:17:12.173023+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content=", (9)"
[2026-08-01T18:17:16.245821+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="no"
[2026-08-01T18:17:18.103320+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="no it is not"
[2026-08-01T18:17:25.053997+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="not even close buddy"
[2026-08-01T18:17:26.382267+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="its an enchanted scroll"
[2026-08-01T18:17:30.378520+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content=";-;"
[2026-08-01T18:17:31.607959+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="just upgrade scroll to book"
[2026-08-01T18:17:31.732204+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="its a BOOK"
[2026-08-01T18:17:36.175759+00:00] Guild="Yap" | Channel="#everyone" | User="twillight_no" (1292531498695524470) | Content="not a scroll"
[2026-08-01T18:17:43.278622+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="okey then its an enchanted book"
[2026-08-01T18:17:43.894065+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content=":D"
[2026-08-01T18:30:22.628286+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="twillight_no" (1292531498695524470) | Content="what is this"
[2026-08-01T18:30:32.350132+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="help"
[2026-08-01T18:42:42.121149+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="noooo"
[2026-08-01T18:42:47.444212+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="bob doesnt listen to ember"
[2026-08-01T18:42:51.141447+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="hang on lemma fix that"
[2026-08-01T18:47:45.331895+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-01T18:47:50.604635+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
[Console Controller Active] Connected to 1 guild(s).
```"
[2026-08-01T18:47:50.776974+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
Current Target Server: 'all' | Target Channel: '#all'
```"
[2026-08-01T18:47:50.806695+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
Commands: test, echo <msg>, spam <number> <msg>, stop, delay <seconds> <cmd>, set, servers, help, reboot, exit
```"
[2026-08-01T18:48:04.194518+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="servers"
[2026-08-01T18:48:04.336542+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```markdown
# Connected Servers
• Yap
```"
[2026-08-01T18:48:11.133777+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="set server yap"
[2026-08-01T18:48:11.245070+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote] Target server updated to: Yap`"
[2026-08-01T18:48:11.382896+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Active Targets] Server: Yap | Channel: #all`"
[2026-08-01T18:48:13.766434+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="set channel em"
[2026-08-01T18:48:13.931476+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote] Target channel updated to: #emberbot137-remote-console`"
[2026-08-01T18:48:14.117779+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Active Targets] Server: Yap | Channel: #emberbot137-remote-console`"
[2026-08-01T18:49:14.418936+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo hii"
[2026-08-01T18:49:14.623446+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="hii"
[2026-08-01T18:49:14.811182+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-01T18:49:40.434494+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="echo echo hii"
[2026-08-01T18:49:40.585424+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo hii"
[2026-08-01T18:49:40.740376+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-01T18:49:40.774425+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="bobbot9000#8975" (1533157532510584894) | Content="hii"
[2026-08-01T18:49:40.976131+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-01T18:49:46.065814+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="echo ooh"
[2026-08-01T18:49:46.170819+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="ooh"
[2026-08-01T18:49:46.413827+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-01T18:49:52.821650+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo meow"
[2026-08-01T18:49:53.024256+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo meow"
[2026-08-01T18:49:53.127749+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-01T18:49:53.135481+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="bobbot9000#8975" (1533157532510584894) | Content="echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo meow"
[2026-08-01T18:49:53.363904+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo meow"
[2026-08-01T18:49:53.494418+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-01T18:49:53.524587+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="bobbot9000#8975" (1533157532510584894) | Content="echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo meow"
[2026-08-01T18:49:53.524705+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-01T18:49:53.651518+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo echo meow"
[2026-08-01T18:49:53.721717+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Echoed to 1 target(s).`"
